遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,112000173,2023/07/21,1640050,32801,15374300,01,05,07,10,11,12,13,16,17,19,20,23
雙贏彩,112000174,2023/07/22,2020200,40404,381000,01,02,03,07,08,11,12,15,18,19,22,23
雙贏彩,112000175,2023/07/24,1744600,34892,277400,01,05,07,09,13,14,15,16,18,19,23,24
雙贏彩,112000176,2023/07/25,1573700,31474,364000,05,06,07,08,09,10,12,13,15,18,19,22
雙贏彩,112000177,2023/07/26,1880250,37605,797500,01,02,05,06,08,10,13,14,18,19,23,24
雙贏彩,112000178,2023/07/27,1543950,30879,257200,01,07,08,09,13,14,15,16,17,20,21,23
雙贏彩,112000179,2023/07/28,1501150,30023,251200,01,02,03,04,07,09,11,14,18,19,20,23
雙贏彩,112000180,2023/07/29,1906600,38132,689200,01,02,06,07,08,10,12,13,14,19,21,22
雙贏彩,112000181,2023/07/31,1723100,34462,263900,01,02,04,09,10,11,12,13,15,19,20,22
雙贏彩,112000182,2023/08/01,1565200,31304,358900,01,02,03,07,09,10,12,13,15,18,20,21
雙贏彩,112000183,2023/08/02,1937300,38746,181500,01,03,06,08,09,10,11,14,16,18,19,20
雙贏彩,112000184,2023/08/03,1537250,30745,465200,03,04,05,07,10,11,12,14,16,17,21,24
雙贏彩,112000185,2023/08/04,1633850,32677,356100,01,04,08,09,10,12,15,18,19,21,22,24
雙贏彩,112000186,2023/08/05,1949900,38998,286100,01,02,03,05,08,10,12,13,19,20,22,23
雙贏彩,112000187,2023/08/07,1755350,35107,467100,01,02,03,04,05,07,11,12,13,16,18,21
雙贏彩,112000188,2023/08/08,1654950,33099,350700,03,04,07,08,10,13,15,16,18,19,21,23
雙贏彩,112000189,2023/08/09,1993050,39861,276100,01,02,03,05,10,12,14,15,18,19,23,24
雙贏彩,112000190,2023/08/10,1546450,30929,461700,01,05,06,07,09,12,13,16,20,21,22,24
雙贏彩,112000191,2023/08/11,1607600,32152,475300,01,02,04,05,06,07,12,13,16,19,21,22
雙贏彩,112000192,2023/08/12,2018800,40376,470500,03,04,05,06,07,09,11,17,19,21,22,23
雙贏彩,112000193,2023/08/14,1757350,35147,666100,02,03,06,08,09,12,14,17,19,20,21,24
雙贏彩,112000194,2023/08/15,1608250,32165,453800,01,03,05,06,09,12,13,14,15,17,18,24
雙贏彩,112000195,2023/08/16,1946400,38928,480700,01,03,04,07,10,11,13,14,16,17,19,22
雙贏彩,112000196,2023/08/17,1614350,32287,270100,01,03,04,07,09,12,15,17,20,22,23,24
雙贏彩,112000197,2023/08/18,1625300,32506,467300,03,06,07,09,10,11,12,15,18,20,22,24
雙贏彩,112000198,2023/08/19,1971450,39429,494700,01,04,05,08,09,10,13,14,16,22,23,24
雙贏彩,112000199,2023/08/21,1753850,35077,266700,02,03,04,06,09,12,13,14,16,17,21,23
雙贏彩,112000200,2023/08/22,1571250,31425,634200,02,04,06,10,12,14,15,16,18,20,21,24
雙贏彩,112000201,2023/08/23,1961000,39220,701700,04,05,08,12,13,14,16,18,19,20,21,24
雙贏彩,112000202,2023/08/24,1616050,32321,451200,01,02,04,06,08,09,11,13,14,19,21,22
雙贏彩,112000203,2023/08/25,1622550,32451,558000,02,04,06,07,09,11,12,14,17,18,19,21
雙贏彩,112000204,2023/08/26,1942300,38846,295200,01,02,03,04,05,06,15,16,18,19,21,23
雙贏彩,112000205,2023/08/28,1746600,34932,980500,01,03,04,05,13,14,15,16,17,18,20,22
雙贏彩,112000206,2023/08/29,1572450,31449,248500,03,04,07,11,12,13,14,15,17,18,19,22
雙贏彩,112000207,2023/08/30,1959200,39184,835700,02,03,04,05,06,07,08,09,12,15,20,22
雙贏彩,112000208,2023/08/31,1647400,32948,557500,02,03,04,05,13,16,17,18,19,20,23,24
雙贏彩,112000209,2023/09/01,1619150,32383,505100,06,08,12,15,16,17,18,19,20,22,23,24
雙贏彩,112000210,2023/09/02,1992500,39850,592900,02,03,04,05,06,08,10,14,15,16,19,20
雙贏彩,112000211,2023/09/04,1639450,32789,355900,01,03,04,07,08,11,14,16,18,19,22,23
雙贏彩,112000212,2023/09/05,1509100,30182,358500,02,05,06,07,10,11,12,13,15,19,21,24
雙贏彩,112000213,2023/09/06,1858600,37172,479900,03,06,07,10,11,13,14,16,18,20,21,24
雙贏彩,112000214,2023/09/07,1615500,32310,505600,02,03,04,05,06,07,08,10,11,14,15,20
雙贏彩,112000215,2023/09/08,1591000,31820,344600,03,06,07,09,10,12,13,15,16,17,18,23
雙贏彩,112000216,2023/09/09,1893700,37874,799700,03,06,09,10,11,12,13,14,15,16,20,23
雙贏彩,112000217,2023/09/11,1752050,35041,497400,02,04,06,08,10,11,13,14,15,16,20,24
雙贏彩,112000218,2023/09/12,1566600,31332,453700,03,04,08,11,14,16,17,18,20,21,23,24
