遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,110000163,2021/07/09,2067150,41343,395600,02,03,04,05,06,08,12,13,17,21,22,24
雙贏彩,110000164,2021/07/10,2560850,51217,869600,01,04,06,07,14,15,16,17,20,21,23,24
雙贏彩,110000165,2021/07/12,2159750,43195,298800,02,04,07,09,10,14,15,17,19,20,21,22
雙贏彩,110000166,2021/07/13,1958400,39168,500000,05,07,08,09,11,12,13,14,19,20,22,24
雙贏彩,110000167,2021/07/14,2461400,49228,489400,01,02,03,04,05,08,09,11,12,16,18,21
雙贏彩,110000168,2021/07/15,2086650,41733,904600,02,05,07,10,11,12,13,14,15,16,22,23
雙贏彩,110000169,2021/07/16,2026950,40539,503400,01,02,03,06,08,10,13,15,16,18,19,22
雙贏彩,110000170,2021/07/17,2492050,49841,657900,04,06,09,10,12,16,17,18,21,22,23,24
雙贏彩,110000171,2021/07/19,2191750,43835,659100,01,02,03,05,07,08,10,11,12,18,23,24
雙贏彩,110000172,2021/07/20,1945400,38908,398500,01,02,03,06,07,12,13,14,19,21,23,24
雙贏彩,110000173,2021/07/21,2380950,47619,1275300,01,02,04,06,08,10,12,13,16,21,22,24
雙贏彩,110000174,2021/07/22,2050150,41003,701000,04,05,06,08,15,17,18,19,21,22,23,24
雙贏彩,110000175,2021/07/23,2002200,40044,887600,01,03,05,09,10,12,13,15,16,17,20,22
雙贏彩,110000176,2021/07/24,2467100,49342,658100,01,02,07,09,10,11,16,19,20,21,23,24
雙贏彩,110000177,2021/07/26,2265250,45305,840800,01,02,03,05,07,08,10,12,13,14,19,22
雙贏彩,110000178,2021/07/27,1958950,39179,393000,01,02,08,09,13,14,18,19,20,21,22,24
雙贏彩,110000179,2021/07/28,2356450,47129,1227900,03,04,05,10,14,15,17,18,19,20,23,24
雙贏彩,110000180,2021/07/29,2102250,42045,1707100,02,03,04,05,09,10,14,18,19,20,23,24
雙贏彩,110000181,2021/07/30,2026950,40539,973900,02,03,04,09,10,14,16,18,20,21,23,24
雙贏彩,110000182,2021/07/31,2364750,47295,427500,01,02,03,08,09,10,12,14,15,17,19,22
雙贏彩,110000183,2021/08/02,2299700,45994,722600,01,03,05,07,09,12,14,15,16,17,19,24
雙贏彩,110000184,2021/08/03,1953350,39067,585400,02,05,06,08,09,10,12,13,16,18,19,21
雙贏彩,110000185,2021/08/04,2346500,46930,1040800,03,04,05,06,09,11,13,14,15,17,19,22
雙贏彩,110000186,2021/08/05,2175250,43505,398400,01,02,08,10,11,13,14,15,17,18,22,23
雙贏彩,110000187,2021/08/06,1927550,38551,376600,01,04,05,06,07,08,13,15,17,22,23,24
雙贏彩,110000188,2021/08/07,2241400,44828,825200,01,04,06,10,12,13,14,16,17,18,22,23
雙贏彩,110000189,2021/08/09,2465400,49308,646600,01,02,06,08,12,14,17,18,19,20,23,24
雙贏彩,110000190,2021/08/10,2038750,40775,605200,05,06,08,10,11,12,13,16,17,18,23,24
雙贏彩,110000191,2021/08/11,2475000,49500,656200,01,06,08,09,12,16,17,19,20,21,23,24
雙贏彩,110000192,2021/08/12,2328200,46564,921400,02,05,06,07,08,10,11,13,14,16,19,24
雙贏彩,110000193,2021/08/13,2076900,41538,717900,01,02,04,05,08,10,14,16,18,21,23,24
雙贏彩,110000194,2021/08/14,2466700,49334,869300,02,03,09,10,11,12,14,15,19,20,21,23
雙贏彩,110000195,2021/08/16,2614100,52282,666400,04,05,08,10,13,14,16,17,18,20,21,22
雙贏彩,110000196,2021/08/17,2076350,41527,590800,01,03,05,08,09,13,16,19,20,21,22,24
雙贏彩,110000197,2021/08/18,2498500,49970,753300,01,05,06,08,09,11,14,16,18,20,21,23
雙贏彩,110000198,2021/08/19,2466200,49324,835700,01,02,04,05,06,07,10,11,14,16,19,22
雙贏彩,110000199,2021/08/20,2169450,43389,839300,01,05,08,09,10,13,15,17,18,20,21,23
雙贏彩,110000200,2021/08/21,2492350,49847,1043600,01,06,07,09,13,14,15,16,18,19,22,23
雙贏彩,110000201,2021/08/23,2789950,55799,451900,01,02,03,05,08,12,13,14,15,16,17,21
雙贏彩,110000202,2021/08/24,2160650,43213,403000,03,06,07,09,11,12,13,14,18,19,23,24
雙贏彩,110000203,2021/08/25,2614400,52288,345300,04,05,11,12,13,15,16,18,19,22,23,24
雙贏彩,110000204,2021/08/26,2197850,43957,762700,03,04,07,08,09,10,14,16,17,20,21,22
雙贏彩,110000205,2021/08/27,2260100,45202,535300,02,04,05,06,10,11,12,14,17,18,20,21
雙贏彩,110000206,2021/08/28,2786250,55725,874900,02,03,04,05,06,08,09,15,17,18,19,23
雙贏彩,110000207,2021/08/30,2468450,49369,541000,02,04,05,07,10,11,14,17,19,21,23,24
雙贏彩,110000208,2021/08/31,2150050,43001,663200,01,03,05,07,09,10,11,12,14,17,19,23
雙贏彩,110000209,2021/09/01,2668900,53378,1161700,01,02,06,07,11,15,17,20,21,22,23,24
雙贏彩,110000210,2021/09/02,2201950,44039,507200,01,02,04,05,06,07,08,16,18,19,20,22
雙贏彩,110000211,2021/09/03,2161050,43221,15410800,02,03,08,09,10,11,13,15,16,20,22,23
雙贏彩,110000212,2021/09/04,2504600,50092,550000,01,02,06,09,10,13,15,17,20,22,23,24
雙贏彩,110000213,2021/09/06,2296350,45927,629900,01,02,06,07,09,10,12,15,18,20,21,22
雙贏彩,110000214,2021/09/07,2017100,40342,699700,02,04,05,06,10,12,13,14,17,19,22,24
雙贏彩,110000215,2021/09/08,2464400,49288,853900,01,02,07,09,16,17,18,19,20,22,23,24
