遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,113000239,2024/10/04,33696800,673936,27563400,5,11,27,38,39
今彩539,113000240,2024/10/05,37400300,748006,17824750,2,5,8,14,32
今彩539,113000241,2024/10/07,38339100,766782,9621850,2,10,17,21,39
今彩539,113000242,2024/10/08,33052750,661055,26741950,1,11,13,25,37
今彩539,113000243,2024/10/09,38506200,770124,9530050,12,17,25,31,34
今彩539,113000244,2024/10/10,34600350,692007,24466200,3,25,29,35,38
今彩539,113000245,2024/10/11,36640050,732801,15987000,14,15,16,24,29
今彩539,113000246,2024/10/12,37339850,746797,16600900,14,21,22,23,35
今彩539,113000247,2024/10/14,38290750,765815,17914500,4,14,19,25,32
今彩539,113000248,2024/10/15,33553050,671061,16090300,2,19,27,33,35
今彩539,113000249,2024/10/16,36024250,720485,8329250,15,20,27,30,31
今彩539,113000250,2024/10/17,34410050,688201,19699200,1,18,21,36,37
今彩539,113000251,2024/10/18,34874000,697480,11861350,4,11,26,34,38
今彩539,113000252,2024/10/19,36350800,727016,8667600,11,15,24,36,37
今彩539,113000253,2024/10/21,38925300,778506,11879850,1,9,17,31,35
今彩539,113000254,2024/10/22,33519950,670399,35560500,7,16,25,32,34
今彩539,113000255,2024/10/23,35901600,718032,26529100,10,18,19,26,37
今彩539,113000256,2024/10/24,32509650,650193,18149500,1,4,8,20,22
今彩539,113000257,2024/10/25,34491250,689825,12557500,6,8,15,28,39
今彩539,113000258,2024/10/26,36271550,725431,8896750,13,15,18,26,28
今彩539,113000259,2024/10/28,37774200,755484,24726250,1,6,13,22,39
今彩539,113000260,2024/10/29,32808500,656170,26969200,9,12,25,29,35
今彩539,113000261,2024/10/30,35746300,714926,20990450,10,11,17,24,33
今彩539,113000262,2024/10/31,20776100,415522,6564500,8,13,25,36,38
今彩539,113000263,2024/11/01,34479800,689596,17795900,4,8,11,19,31
今彩539,113000264,2024/11/02,38087800,761756,11970700,6,7,16,37,38
今彩539,113000265,2024/11/04,39157000,783140,10219800,3,7,10,26,35
今彩539,113000266,2024/11/05,34257450,685149,18924350,1,8,18,27,30
今彩539,113000267,2024/11/06,37537300,750746,19166350,6,11,14,18,22
今彩539,113000268,2024/11/07,34231000,684620,24375350,6,10,20,25,32
今彩539,113000269,2024/11/08,35430100,708602,17234450,1,9,13,31,32
今彩539,113000270,2024/11/09,37249550,744991,10446600,2,3,10,21,36
今彩539,113000271,2024/11/11,38965050,779301,26041300,7,14,20,24,26
今彩539,113000272,2024/11/12,33210000,664200,21050600,5,8,17,24,28
今彩539,113000273,2024/11/13,38064050,761281,18877050,3,11,18,21,35
今彩539,113000274,2024/11/14,34808200,696164,26138750,5,11,17,25,30
今彩539,113000275,2024/11/15,35763400,715268,9058050,2,18,27,29,39
今彩539,113000276,2024/11/16,36493650,729873,17273800,4,24,29,33,37
今彩539,113000277,2024/11/18,36765650,735313,10959450,3,5,23,26,27
今彩539,113000278,2024/11/19,33062050,661241,15644150,10,14,21,32,33
今彩539,113000279,2024/11/20,36565200,731304,20258000,13,20,30,31,33
今彩539,113000280,2024/11/21,32646050,652921,9183450,4,12,13,23,25
今彩539,113000281,2024/11/22,35159050,703181,34188050,3,7,8,17,30
今彩539,113000282,2024/11/23,36670200,733404,8978750,3,13,28,29,38
今彩539,113000283,2024/11/25,39709750,794195,8583600,3,6,19,20,38
今彩539,113000284,2024/11/26,32821000,656420,27777150,1,5,11,27,29
今彩539,113000285,2024/11/27,36566050,731321,20444900,7,13,14,21,35
今彩539,113000286,2024/11/28,33767700,675354,25609400,5,9,20,29,34
今彩539,113000287,2024/11/29,35023250,700465,18362950,3,11,18,25,35
今彩539,113000288,2024/11/30,37503500,750070,20003550,4,11,16,17,24
今彩539,113000289,2024/12/2,39800500,796010,38091850,5,13,23,29,38
今彩539,113000290,2024/12/3,34962500,699250,18069850,7,12,15,16,18
今彩539,113000291,2024/12/4,38207450,764149,10304350,12,27,33,35,38
今彩539,113000292,2024/12/5,35954200,719084,34594100,5,19,23,28,39
今彩539,113000293,2024/12/6,37098500,741970,8992350,2,15,20,33,38
今彩539,113000294,2024/12/7,37950100,759002,24580600,6,24,31,32,33
今彩539,113000295,2024/12/9,39717450,794349,10865550,8,9,20,28,32
今彩539,113000296,2024/12/10,35645400,712908,19089350,7,12,13,21,24
今彩539,113000297,2024/12/11,38974350,779487,28848100,4,22,32,34,37
今彩539,113000298,2024/12/12,35459300,709186,35988900,2,11,16,23,29
今彩539,113000299,2024/12/13,35720300,714406,8334450,2,9,20,34,38
