遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,113000210,2024/08/31,28269575,1130783,12210500,9,15,21,36,37
39樂合彩,113000211,2024/09/02,28652800,1146112,17766250,16,20,24,31,37
39樂合彩,113000212,2024/09/03,25858750,1034350,13186000,11,14,19,23,24
39樂合彩,113000213,2024/09/04,28417875,1136715,12388250,9,26,27,31,35
39樂合彩,113000214,2024/09/05,28262375,1130495,12790125,10,13,27,32,37
39樂合彩,113000215,2024/09/06,27325300,1093012,11491875,14,27,31,36,39
39樂合彩,113000216,2024/09/07,29315125,1172605,35485750,5,9,28,36,38
39樂合彩,113000217,2024/09/09,30652075,1226083,25768125,5,16,17,36,37
39樂合彩,113000218,2024/09/10,28206200,1128248,49538125,6,34,35,36,39
39樂合彩,113000219,2024/09/11,32515950,1300638,12871500,5,8,14,20,26
39樂合彩,113000220,2024/09/12,30988675,1239547,17458750,3,8,13,27,33
39樂合彩,113000221,2024/09/13,29163775,1166551,10427375,6,8,25,37,39
39樂合彩,113000222,2024/09/14,30734250,1229370,14478375,3,29,34,35,37
39樂合彩,113000223,2024/09/16,32636625,1305465,31349875,12,15,18,19,26
39樂合彩,113000224,2024/09/17,27277825,1091113,20479125,7,9,31,38,39
39樂合彩,113000225,2024/09/18,29235800,1169432,17835125,2,9,16,18,23
39樂合彩,113000226,2024/09/19,29021625,1160865,12649250,16,19,22,26,37
39樂合彩,113000227,2024/09/20,28567125,1142685,13618000,4,7,30,32,38
39樂合彩,113000228,2024/09/21,28095575,1123823,13474875,9,22,25,35,39
39樂合彩,113000229,2024/09/23,38439100,1537564,20503750,4,12,14,17,35
39樂合彩,113000230,2024/09/24,35994600,1439784,16622500,4,10,19,30,31
39樂合彩,113000231,2024/09/25,38251150,1530046,23322000,2,5,10,12,37
39樂合彩,113000232,2024/09/26,37438375,1497535,22128500,4,6,14,16,20
39樂合彩,113000233,2024/09/27,35981850,1439274,31651250,3,27,34,37,39
